team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
188,191,188,21,12,6,17,17,11,5,7,3,3,1,1.2941,4.7737,10.7137
93,122,93,26,0,0,12,7,11,2,5,1,1,0,1.5575,3.6,5.645
1,115,1,22,3,2,12,18,8,12,3,2,3,1,1.3224,4.6336,9.0124
88,172,88,22,-2,1,9,20,9,12,6,6,2,2,2.44,3.0933,2.6067
119,191,119,22,6,2,20,17,8,14,5,3,4,3,2.03,3.3917,3.57
18,107,107,22,12,2,17,7,9,19,4,2,2,1,1.2965,4.7883,9.6761
89,173,173,21,-1,4,17,12,12,10,4,6,4,3,4.9065,3.3812,1.7238
21,180,21,21,-3,5,12,13,18,9,4,4,1,5,3.6488,3.4938,1.7913
68,95,68,21,1,0,16,20,16,13,3,0,3,0,1.2638,4.6513,9.1588
97,112,97,22,7,2,18,13,9,15,6,3,2,1,1.226,5.553999999999999,10.3
55,185,55,22,11,1,27,15,12,11,4,7,2,1,1.3836,4.3271,7.3179
